"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
114,19,114,"南海放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
115,19,115,"テレビ愛媛","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
117,19,117,"愛媛朝日テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
119,3,119,"日テレプラス","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
121,3,121,"ビクトリーチャンネル","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
123,19,123,"瀬戸内海放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
124,19,124,"西日本放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
126,11,126,"山口放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
127,11,127,"山口朝日放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
131,3,131,"フジテレビNEXT","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
136,4,136,"ニコニコ生放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
137,3,137,"スカパー162ch","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
141,10,141,"テレビ静岡","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
144,16,144,"テレビ西日本","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
145,16,145,"サガテレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
146,22,146,"北陸朝日放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
